L: 1	it: 1	x0: 0	Rj: 240	Rj_1: -196
L: 1	it: 2	x0: 1.22449	Rj: -43.1289	Rj_1: -158.813
L: 1	it: 3	x0: 0.952919	Rj: 10.5714	Rj_1: -228.86
L: 1	it: 4	x0: 0.999111	Rj: 0.195695	Rj_1: -220.179
L: 1	it: 5	x0: 1	Rj: 7.96468e-05	Rj_1: -220
L: 1	it: 6	x0: 1	Rj: 1.32729e-11	Rj_1: -220

L: 2	it: 1	x0: 0	Rj: -240	Rj_1: -44
L: 2	it: 2	x0: -5.45455	Rj: -120.975	Rj_1: 122.071
L: 2	it: 3	x0: -4.46352	Rj: -24.2755	Rj_1: 68.3304
L: 2	it: 4	x0: -4.10825	Rj: -4.31754	Rj_1: 43.7539
L: 2	it: 5	x0: -4.00957	Rj: -0.347977	Rj_1: 36.6891
L: 2	it: 6	x0: -4.00009	Rj: -0.00323665	Rj_1: 36.0065
L: 2	it: 7	x0: -4	Rj: -2.90891e-07	Rj_1: 36

L: 3	it: 1	x0: 0	Rj: -60	Rj_1: 4
L: 3	it: 2	x0: 15	Rj: 5850	Rj_1: 1009
L: 3	it: 3	x0: 9.20218	Rj: 1687.53	Rj_1: 460.488
L: 3	it: 4	x0: 5.53752	Rj: 469.259	Rj_1: 217.818
L: 3	it: 5	x0: 3.38316	Rj: 118.159	Rj_1: 112.767
L: 3	it: 6	x0: 2.33534	Rj: 22.07	Rj_1: 71.739
L: 3	it: 7	x0: 2.0277	Rj: 1.67505	Rj_1: 60.9441
L: 3	it: 8	x0: 2.00021	Rj: 0.0128842	Rj_1: 60.0073
L: 3	it: 9	x0: 2	Rj: 7.83733e-07	Rj_1: 60

L: 4	it: 1	x0: 0	Rj: 30	Rj_1: 13
L: 4	it: 2	x0: -2.30769	Rj: 5.32544	Rj_1: 8.38462
L: 4	it: 3	x0: -2.94284	Rj: 0.403409	Rj_1: 7.11433
L: 4	it: 4	x0: -2.99954	Rj: 0.00321531	Rj_1: 7.00092
L: 4	it: 5	x0: -3	Rj: 2.10929e-07	Rj_1: 7

L: 5	it: 1	x0: 0	Rj: 10	Rj_1: 1
L: 5	it: 2	x0: -10	Rj: 0	Rj_1: 1

