1	1	0.00211547	-0.000965724	-0.00583747	0.00827416	-0.000429942	0.00869937	-1.39602e-07	-0.0172248	0.0015442	-0.0112005	
1	2	0.00418369	-0.0020718	-0.0113184	0.0158135	-4.81182e-05	0.0164767	-0.000940748	-0.0319787	0.000981472	-0.0205812	
1	3	0.00615846	-0.0034415	-0.0161139	0.0219475	0.00178009	0.0225776	-0.00349274	-0.0421964	-0.00302771	-0.0269076	
1	4	0.00799567	-0.00516376	-0.0199494	0.0261316	0.00537092	0.0265416	-0.00784762	-0.0465512	-0.010556	-0.0299158	
1	5	0.00965426	-0.00728256	-0.0226247	0.0279934	0.0106441	0.0282801	-0.0136186	-0.0446564	-0.0203507	-0.0303604	
1	6	0.0110973	-0.00978689	-0.0240292	0.0273683	0.0171248	0.0280778	-0.0198745	-0.0370991	-0.0302394	-0.0297115	
1	7	0.0122924	-0.0126084	-0.0241485	0.0243115	0.0240249	0.0265218	-0.0253049	-0.0253048	-0.0378563	-0.0296087	
1	8	0.0132129	-0.0156248	-0.0230636	0.0190945	0.0303884	0.0243734	-0.0284868	-0.0112622	-0.0414414	-0.0312586	
1	9	0.0138383	-0.0186657	-0.0209414	0.0121811	0.0352711	0.0224071	-0.0281969	0.00284065	-0.0404323	-0.0349898	
1	10	0.0141546	-0.0215282	-0.0180182	0.00418526	0.0379205	0.0212493	-0.0237066	0.0149963	-0.0356433	-0.0401182	
1	11	0.0141546	-0.0239917	-0.0145783	-0.00418238	0.0379204	0.0212498	-0.0149964	0.0237059	-0.0289739	-0.0451711	
1	12	0.0138385	-0.0258372	-0.010927	-0.0121784	0.035271	0.0224078	-0.0028405	0.0281959	-0.0227416	-0.0483933	
1	13	0.0132133	-0.0268672	-0.00736469	-0.0190922	0.0303883	0.0243746	0.0112627	0.0284855	-0.0188777	-0.0483548	
1	14	0.0122928	-0.026923	-0.0041599	-0.0243095	0.0240248	0.0265235	0.0253055	0.0253036	-0.0182613	-0.0444564	
1	15	0.0110978	-0.0259015	-0.00152702	-0.0273667	0.0171246	0.0280796	0.0370999	0.0198732	-0.0204229	-0.037151	
1	16	0.00965478	-0.0237654	0.000391579	-0.0279922	0.010644	0.0282822	0.0446571	0.0136176	-0.0237245	-0.0278063	
1	17	0.00799613	-0.0205503	0.00153599	-0.0261304	0.00537102	0.0265433	0.0465517	0.00784668	-0.0259476	-0.0182562	
1	18	0.00615882	-0.0163643	0.00193147	-0.0219467	0.00178025	0.0225792	0.0421966	0.00349195	-0.0250886	-0.0101945	
