-9.9005	-0.00238616	0.00466023	-0.00561702	0.00878304	-0.00872372	0.0126842	
-9.801	-0.00476858	0.00930647	-0.0111768	0.0174472	-0.0172168	0.0249664	
-9.70149	-0.00714371	0.0139253	-0.0166251	0.02588	-0.0252638	0.0364731	
-9.60199	-0.00950812	0.0185041	-0.0219109	0.0339765	-0.0326694	0.0468698	
-9.50249	-0.0118586	0.0230306	-0.0269867	0.0416406	-0.0392626	0.0558692	
-9.40299	-0.0141919	0.0274934	-0.0318095	0.0487855	-0.0448995	0.0632372	
-9.30348	-0.0165053	0.0318817	-0.03634	0.0553349	-0.0494656	0.0687974	
-9.20398	-0.0187959	0.0361856	-0.0405438	0.0612231	-0.0528769	0.072432	
-9.10448	-0.0210611	0.0403956	-0.0443908	0.0663953	-0.05508	0.0740825	
-9.00498	-0.0232985	0.0445031	-0.0478556	0.0708076	-0.0560515	0.0737473	
-8.90547	-0.0255058	0.0485001	-0.0509172	0.0744273	-0.0557971	0.0714785	
-8.80597	-0.0276809	0.0523792	-0.0535593	0.077232	-0.0543491	0.0673765	
-8.70647	-0.0298217	0.056134	-0.05577	0.0792099	-0.0517643	0.0615852	
-8.60697	-0.0319265	0.0597586	-0.0575414	0.0803588	-0.0481211	0.0542842	
-8.50746	-0.0339936	0.0632475	-0.0588701	0.0806859	-0.0435164	0.045683	
-8.40796	-0.0360215	0.0665963	-0.0597561	0.0802067	-0.0380621	0.0360126	
-8.30846	-0.0380088	0.0698009	-0.0602033	0.0789447	-0.0318821	0.0255189	
-8.20896	-0.0399543	0.072858	-0.0602187	0.0769304	-0.0251084	0.0144557	
-8.10945	-0.0418568	0.0757647	-0.0598126	0.0742003	-0.0178783	0.00307741	
-8.00995	-0.0437155	0.0785188	-0.0589979	0.0707966	-0.0103311	-0.00836628	
-7.91045	-0.0455295	0.0811187	-0.0577899	0.0667657	-0.00260514	-0.0196364	
-7.81095	-0.0472981	0.0835632	-0.0562062	0.062158	0.00516482	-0.0305092	
-7.71144	-0.0490207	0.0858515	-0.0542663	0.0570268	0.0128498	-0.0407801	
-7.61194	-0.0506968	0.0879835	-0.0519912	0.0514274	0.0203286	-0.0502668	
-7.51244	-0.0523261	0.0899594	-0.0494031	0.0454166	0.0274898	-0.0588118	
-7.41294	-0.0539084	0.0917798	-0.0465254	0.0390519	0.0342324	-0.0662834	
-7.31343	-0.0554434	0.0934458	-0.043382	0.0323909	0.0404677	-0.0725772	
-7.21393	-0.0569311	0.0949587	-0.0399976	0.0254908	0.0461191	-0.0776158	
